"Description","Results"
"MAIN INFORMATION ABOUT DATA",""
"Timespan","1988:2021"
"Sources (Journals, Books, etc)","26"
"Documents","39"
"Average years from publication","10.2"
"Average citations per documents","19.67"
"Average citations per year per doc","2.208"
"References","1842"
"DOCUMENT TYPES",""
"article","39"
"DOCUMENT CONTENTS",""
"Keywords Plus (ID)","368"
"Author's Keywords (DE)","160"
"AUTHORS",""
"Authors","111"
"Author Appearances","155"
"Authors of single-authored documents","0"
"Authors of multi-authored documents","111"
"AUTHORS COLLABORATION",""
"Single-authored documents","0"
"Documents per Author","0.351"
"Authors per Document","2.85"
"Co-Authors per Documents","3.97"
"Collaboration Index","2.85"
"",""