"Species","taxon_name","taxon_authors","family","genus"
"Acacia nilotica","Vachellia nilotica","(L.) P.J.H.Hurter & Mabb.","Fabaceae","Vachellia"
"Aerva lanata","Ouret lanata","(L.) Kuntze","Amaranthaceae","Ouret"
"Ageratum conyzoides","Ageratum conyzoides","L.","Asteraceae","Ageratum"
"Ageratum houstonianum","Ageratum houstonianum","Mill.","Asteraceae","Ageratum"
"Albizia lebbeck","Albizia lebbeck","(L.) Benth.","Fabaceae","Albizia"
"Bougainvillea spectabilis","Bougainvillea spectabilis","Willd.","Nyctaginaceae","Bougainvillea"
"Broussonetia papyrifera","Broussonetia papyrifera","(L.) L'H̩r. ex Vent.","Moraceae","Broussonetia"
"Butea monosperma","Butea monosperma","(Lam.) Kuntze","Fabaceae","Butea"
"Calyptocarpus vialis","Calyptocarpus vialis","Less.","Asteraceae","Calyptocarpus"
"Cannabis sativa","Cannabis sativa","L.","Cannabaceae","Cannabis"
"Cassia occidentalis","Senna occidentalis","(L.) Link","Fabaceae","Senna"
"Cassia tora","Senna tora","(L.) Roxb.","Fabaceae","Senna"
"Cissampelos pareira","Cissampelos pareira","L.","Menispermaceae","Cissampelos"
"Commelina benghalensis","Commelina benghalensis","L.","Commelinaceae","Commelina"
"Cordia dichotoma","Cordia dichotoma","G.Forst.","Boraginaceae","Cordia"
"Dendrocalamus strictus","Dendrocalamus strictus","(Roxb.) Nees","Poaceae","Dendrocalamus"
"Dicliptera paniculata","Dicliptera paniculata","(Forssk.) I.Darbysh.","Acanthaceae","Dicliptera"
"Ichnocarpus frutescens","Ichnocarpus frutescens","(L.) W.T.Aiton","Apocynaceae","Ichnocarpus"
"Justicia adhatoda","Justicia adhatoda","L.","Acanthaceae","Justicia"
"Lantana camara","Lantana camara","L.","Verbenaceae","Lantana"
"Leucaena leucocephala","Leucaena leucocephala","(Lam.) de Wit","Fabaceae","Leucaena"
"Malvastrum coromandelianum","Malvastrum coromandelianum","(L.) Garcke","Malvaceae","Malvastrum"
"Millettia peguensis","Millettia peguensis","Ali","Fabaceae","Millettia"
"Murraya koenigii","Bergera koenigii","L.","Rutaceae","Bergera"
"Oplismenus burmannii","Oplismenus burmanni","(Retz.) P.Beauv.","Poaceae","Oplismenus"
"Oxalis corniculata","Oxalis corniculata","L.","Oxalidaceae","Oxalis"
"Panicum antidotale","Panicum antidotale","Retz.","Poaceae","Panicum"
"Parthenium hysterophorus","Parthenium hysterophorus","L.","Asteraceae","Parthenium"
"Peperomia pellucida","Peperomia pellucida","(L.) Kunth","Piperaceae","Peperomia"
"Phoenix dactylifera","Phoenix dactylifera","L.","Arecaceae","Phoenix"
"Phyllanthus emblica","Phyllanthus emblica","L.","Phyllanthaceae","Phyllanthus"
"Prosopis juliflora","Prosopis juliflora","(Sw.) DC.","Fabaceae","Prosopis"
"Rivina humilis","Rivina humilis","L.","Petiveriaceae","Rivina"
"Sapindus mukorossi","Sapindus mukorossi","Gaertn.","Sapindaceae","Sapindus"
"Sida acuta","Sida acuta","Burm.f.","Malvaceae","Sida"
"Sida cordata","Sida cordata","(Burm.f.) Borss.Waalk.","Malvaceae","Sida"
"Sida rhombifolia","Sida rhombifolia","L.","Malvaceae","Sida"
"Ziziphus mauritiana","Ziziphus mauritiana","Lam.","Rhamnaceae","Ziziphus"
