Original name,Family,TPL1.1_CompleteName,ANP,ARP,ASS,BIH,CHH,GOA,GUJ,HAR,HIP,JAK,JHA,KAR,KER,MAP,MAH,MAN,MEG,MIZ,NAG,ODI,PUN,RAJ,SIK,TAN,TRI,UTP,UTH,WBE,AAN,CHA,LAK,DEL,PUD
Crotalaria micans Link,Leguminosae,Crotalaria micans Link,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Croton bonplandianum Baill.,Euphorbiaceae,Croton bonplandianus Baill.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Cryptostegia grandiflora  Roxb. ex R.Br,Apocynaceae,Cryptostegia grandiflora Roxb. ex R.Br.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Cryptostegia madagascariensis Bojer ex Decne.,Apocynaceae,Cryptostegia madagascariensis Bojer ex Decne.,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cuscuta campestris Yunck.,Convolvulaceae,Cuscuta campestris Yunck.,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
Cyclospermum leptophyllum (Pers.) Eichler,Apiaceae,Cyclospermum leptophyllum (Pers.) Sprague,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",Plantaginaceae,"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cyperus involucratus Rottb.,Cyperaceae,Cyperus involucratus Rottb.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cytisus canariensis L.,Leguminosae,Genista canariensis L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cytisus proliferus L.f.,Leguminosae,Cytisus proliferus L.f.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cytisus scoparius (L.) Link,Leguminosae,Cytisus scoparius (L.) Link,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Dactyliandra welwitschii Hook.f.,Cucurbitaceae,Dactyliandra welwitschii Hook.f.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dactylis glomerata L.,Poaceae,Dactylis glomerata L.,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
Dalbergia melanoxylon Guill. & Perr.,Leguminosae,Dalbergia melanoxylon Guill. & Perr.,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Datura ferox L.,Solanaceae,Datura ferox L.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Datura innoxia Mill.,Solanaceae,Datura innoxia Mill.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Datura metel (D. fastuosa) L.,Solanaceae,Datura metel L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Datura stramonium L.,Solanaceae,Datura stramonium L.,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
Dentella repens (L.) J.R.Forst. & G.Forst.,Rubiaceae,Dentella repens (L.) J.R.Forst. & G.Forst.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Desmanthus virgatus (L.) Willd.,Leguminosae,Desmanthus virgatus (L.) Willd.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Desmodium tortuosum (Sw.) DC.,Leguminosae,Desmodium tortuosum (Sw.) DC.,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
Dicoma tomentosa Cass.,Compositae,Dicoma tomentosa Cass.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Dimeria ornithopoda var. ornithopoda Trin.,Poaceae,Dimeria ornithopoda Trin.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Diplotaxis muralis DC.,Brassicaceae,Diplotaxis muralis (L.) DC.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dysphania ambrosioides (L.) Mosyakin & Clemants,Amaranthaceae,Dysphania ambrosioides (L.) Mosyakin & Clemants,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Echinochloa cruspavonis (Kunth) Schult.,Poaceae,Echinochloa crus-pavonis (Kunth) Schult.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eichhornia crassipes (Mart.) Solms,Pontederiaceae,Eichhornia crassipes (Mart.) Solms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Eleutheranthera ruderalis (Sw.) Sch.Bip.,Iridaceae,Eleutheranthera ruderalis (Sw.) Sch.Bip.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eleutherine bulbosa (Mill.) Urb.,Iridaceae,Eleutherine bulbosa (Mill.) Urb.,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Elodea canadensis Michx.,Hydrocharitaceae,Elodea canadensis Michx.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Erechtites valerianifolia  (Link ex Wolf) Less. ex DC.,Compositae,Erechtites valerianifolia (Link ex Wolf) Less. ex DC.,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Erigeron annuus  (L.) Pers.,Compositae,Erigeron annuus (L.) Pers.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Erigeron bonariensis  L.,Compositae,Erigeron bonariensis L.,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Erigeron karvinskianus DC.,Compositae,Erigeron karvinskianus DC.,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Erigeron sublyratus  Roxb. ex DC.,Compositae,Erigeron sublyratus Roxb. ex DC.,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0
Eriochloa fatmensis (Hochst. & Steud.) Clayton,Poaceae,Eriochloa fatmensis (Hochst. & Steud.) Clayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erophila verna (L.) DC.,Brassicaceae,Erophila verna (L.) DC.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eucalyptus globulus Labill.,Myrtaceae,Eucalyptus globulus Labill.,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Eupatorium cannabinum L.,Compositae,Eupatorium cannabinum L.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupatorium capillifolium  (Lam.) Small ex Porter & Britton,Compositae,Eupatorium capillifolium (Lam.) Small ex Porter & Britton,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Euphorbia chamaesyce L.,Euphorbiaceae,Euphorbia chamaesyce L.,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0
Euphorbia cyathophora Murray,Euphorbiaceae,Euphorbia cyathophora Murray,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Euphorbia helioscopia L.,Euphorbiaceae,Euphorbia helioscopia L.,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
Euphorbia heterophylla L.,Euphorbiaceae,Euphorbia heterophylla L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Euphorbia hispida Boiss.,Euphorbiaceae,Euphorbia hispida Boiss.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euphorbia hyssopifolia L.,Euphorbiaceae,Euphorbia hyssopifolia L.,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Euphorbia indica Lam.,Euphorbiaceae,Euphorbia indica Lam.,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0
Euphorbia peplus L.,Euphorbiaceae,Euphorbia peplus L.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Euphorbia prostrata Aiton,Euphorbiaceae,Euphorbia prostrata Aiton,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0
Euphorbia tirucalli L.,Euphorbiaceae,Euphorbia tirucalli L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Euphorbia tithymaloides L.,Euphorbiaceae,Euphorbia tithymaloides L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Evolvulus nummularis (L.) L.,Convolvulaceae,Evolvulus nummularius (L.) L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Farsetia heliophila Bunge ex Coss.,Brassicaceae,Farsetia heliophila Bunge ex Coss.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Fimbristylis littoralis Gaudich.,Cyperaceae,Fimbristylis littoralis Gaudich.,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0
Fioria vitifolia L.,Malvaceae,Hibiscus vitifolius L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Flaveria australasica Hook,Compositae,Flaveria australasica Hook.,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
Flaveria trinervia (Spreng.) C. Mohr.,Compositae,Flaveria trinervia (Spreng.) C.Mohr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Galinsoga parviflora Cav.,Compositae,Galinsoga parviflora Cav.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Galinsoga quadriradiata Ruiz. & Pavon,Compositae,Galinsoga quadriradiata Ruiz & Pav.,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Galium palustre L.,Rubiaceae,Galium palustre L.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gamochaeta coarctata  (Willd.) Kerguélen,Compositae,Gnaphalium coarctatum Willd.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gamochaeta purpurea (L.) Cabrera,Compositae,Gnaphalium purpureum L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Genista monspessulana (L.) L.A.S.Johnson,Leguminosae,Genista monspessulana (L.) L.A.S.Johnson,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gisekia pharnacioides L.,Gisekiaceae,Gisekia pharnaceoides L.,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1
Gnaphalium coarctatum Willd.,Compositae,Gnaphalium coarctatum Willd.,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Gnaphalium pensylvanicum Willd.,Compositae,Gnaphalium pensylvanicum Willd.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Gnaphalium polycaulon Pers.,Compositae,Gnaphalium polycaulon Pers.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Gomphocarpus physocarpus E.Mey.,Apocynaceae,Gomphocarpus physocarpus E.Mey.,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Gomphrena celosioides Mart.,Amaranthaceae,Gomphrena celosioides Mart.,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Gomphrena globosa L.,Amaranthaceae,Gomphrena globosa L.,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Gymnocoronis spilanthoides (D. Don ex Hook. & Arn.) DC.,Compositae,Gymnocoronis spilanthoides (D.Don ex Hook. & Arn.) DC.,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gypsophila muralis L.,Caryophyllaceae,Gypsophila muralis L.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hakea salicifolia (Vent.) B.L.Burtt,Proteaceae,Hakea salicifolia (Vent.) B.L.Burtt,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hardenbergia comptoniana (Andrews) Benth.,Leguminosae,Hardenbergia comptoniana (Andrews) Benth.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hedera helix L.,Araliaceae,Hedera helix L.,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0
Helichrysum bracteatum (Venten.) Willd.,Compositae,Helichrysum bracteatum (Venten.) Willd.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Heliotropium curassavicum L.,Boraginaceae,Heliotropium curassavicum L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Heliotropium indicum L.,Boraginaceae,Heliotropium indicum L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Heliotropium subulatum (Burm.f.) Lam.,Boraginaceae,Heliotropium subulatum Hochst. ex DC.,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1
Hemerocallis fulva (L.) L.,Xanthorrhoeaceae,Hemerocallis fulva (L.) L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hieracium crocatum Fr.,Compositae,Hieracium crocatum Fr.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hovenia dulcis Thunb.,Rhamnaceae,Hovenia dulcis Thunb.,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Hydrocharis dubia Backer,Hydrocharitaceae,Hydrocharis dubia (Blume) Backer,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
Hypochoeris glabra L.,Compositae,Hypochaeris glabra L.,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hyptis capitata Jacq.,Lamiaceae,Hyptis capitata Jacq.,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hyptis pectinata (L.) Poit.,Lamiaceae,Hyptis pectinata (L.) Poit.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
Hyptis suaveolens (L.) Poit.,Lamiaceae,Hyptis suaveolens (L.) Poit.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Indigofera spicata Forssk.,Leguminosae,Indigofera spicata Forssk.,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Indigofera trita L.f.,Leguminosae,Indigofera trita L.f.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Ipomoea cairica (L.) Sweet,Convolvulaceae,Ipomoea cairica (L.) Sweet,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Ipomoea carnea subsp. fistulosa (Mart. Ex Choisy) D.F. Austin,Convolvulaceae,Ipomoea carnea fistulosa,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
Ipomoea coccinea L.,Convolvulaceae,Ipomoea rubriflora O'Donell,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ipomoea coptica (L.) Roth ex Roem. & Schult.,Convolvulaceae,Ipomoea coptica (L.) Roth ex Roem. & Schult.,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ipomoea hederifolia L.,Convolvulaceae,Ipomoea hederifolia L.,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Ipomoea mauritiana Jacq,Convolvulaceae,Ipomoea mauritiana Jacq.,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ipomoea muricata (L.) Jacq.,Convolvulaceae,Ipomoea muricata (L.) Jacq.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Ipomoea obscura (L.) Ker Gawl.,Convolvulaceae,Ipomoea obscura (L.) Ker Gawl.,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
Ipomoea pes-tigridis L.,Convolvulaceae,Ipomoea pes-tigridis L.,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0
Ipomoea purpurea (L.) Roth,Convolvulaceae,Ipomoea purpurea (L.) Roth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Ipomoea quamoclit L.,Convolvulaceae,Ipomoea quamoclit L.,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
Ipomoea tricolor Cav.,Convolvulaceae,Ipomoea tricolor Cav.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ipomoea triloba  L.,Convolvulaceae,Ipomoea triloba L.,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Jatropha curcas L.,Euphorbiaceae,Jatropha curcas L.,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0
Jatropha glandulifera Roxb.,Euphorbiaceae,Jatropha glandulifera Roxb.,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Jatropha gossypiifolia L.,Euphorbiaceae,Jatropha gossypiifolia L.,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
Kallstroemia pubescens (G.Don) Dandy,Zygophyllaceae,Kallstroemia pubescens (G.Don) Dandy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Koeleria macrantha (Ledeb.) Schult.,Poaceae,Koeleria macrantha (Ledeb.) Schult.,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Lagascea mollis Cav.,Compositae,Lagascea mollis Cav.,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
Lantana camara L.,Verbenaceae,Lantana camara L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Lantana trifolia L.,Verbenaceae,Lantana trifolia L.,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lemna turionifera Landolt,Araceae,Lemna turionifera Landolt,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Leonotis nepetifolia (L.) R. Br.,Lamiaceae,Leonotis nepetifolia (L.) R.Br.,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
Lepidium didymum L.,Brassicaceae,Lepidium didymum L.,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0
