Original name,Family,TPL1.1_CompleteName,ANP,ARP,ASS,BIH,CHH,GOA,GUJ,HAR,HIP,JAK,JHA,KAR,KER,MAP,MAH,MAN,MEG,MIZ,NAG,ODI,PUN,RAJ,SIK,TAN,TRI,UTP,UTH,WBE,AAN,CHA,LAK,DEL,PUD
Lepidium ruderale L.,Brassicaceae,Lepidium ruderale L.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Lepidium virginicum L.,Brassicaceae,Lepidium virginicum L.,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
Leucaena latisiliqua (L.) Benth.,Leguminosae,Lysiloma latisiliquum (L.) Benth.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Leucaena leucocephala (Lam.) de Wit,Leguminosae,Leucaena leucocephala (Lam.) de Wit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Leucanthemum vulgare (Vaill.) Lam.,Compositae,Leucanthemum vulgare (Vaill.) Lam.,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0
Limnocharis flava (L.) Buchenau,Alismataceae,Limnocharis flava (L.) Buchenau,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lippia alba (Mill.) N.E. Brown Ex Britton & Wilson,Verbenaceae,Lippia alba (Mill.) N.E.Br. ex Britton & P.Wilson,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
Lobelia chinensis Lour.,Campanulaceae,Lobelia chinensis Lour.,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Lolium temulentum L.,Poaceae,Lolium temulentum L.,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Ludwigia erecta (L.) H.Hara,Onagraceae,Ludwigia erecta (L.) H.Hara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ludwigia hyssopifolia (G.Don) Exell,Onagraceae,Ludwigia hyssopifolia (G.Don) Exell,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
Ludwigia peruviana (L.) H. Hara,Onagraceae,Ludwigia peruviana (L.) H.Hara,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Lychnis coronaria Desr.,Caryophyllaceae,Silene coronaria (Desr.) Clairv. ex Rchb.,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycopus europaeus L.,Lamiaceae,Lycopus europaeus L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macfadyena unguis-cati (L.) A. H. Gentry,Bignoniaceae,Dolichandra unguis-cati (L.) L.G.Lohmann,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Macroptilium atropurpureum (Macino & Sesse et DC) Urb.,Leguminosae,Macroptilium atropurpureum (DC.) Urb.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Macroptilium lathyroides (L.) Urb,Leguminosae,Macroptilium lathyroides (L.) Urb.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Malachra capitata (L.) L.,Malvaceae,Malachra capitata (L.) L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Malva neglecta Wallr.,Malvaceae,Malva neglecta Wallr.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malva parviflora var. parviflora L.,Malvaceae,Malva parviflora L.,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Malvastrum coromandelianum (L.) Garcke,Malvaceae,Malvastrum coromandelianum (L.) Garcke,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Martynia annua L.,Martyniaceae,Martynia annua L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Mecardonia procumbens (Mill.) Small,Plantaginaceae,Mecardonia procumbens (Mill.) Small,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Medicago polymorpha L.,Leguminosae,Medicago polymorpha L.,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0
Melia azedarach L.,Meliaceae,Melia azedarach L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Melianthus major L.,Melianthaceae,Melianthus major L.,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Melochia pyramidata L.,Malvaceae,Melochia pyramidata L.,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Mentha piperita L.,Lamiaceae,Mentha <d7> piperita L.,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
Merremia aegyptia (L.) Urb.,Convolvulaceae,Merremia aegyptia (L.) Urb.,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Merremia dissecta (Jacq.) Hallier. f.,Convolvulaceae,Merremia dissecta (Jacq.) Hallier f.,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Merremia quinata  (R. Br.) Ooststr.,Convolvulaceae,Merremia quinata (R. Br.) Ooststr.,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Merremia tuberosa (L.) Rendle,Convolvulaceae,Merremia tuberosa (L.) Rendle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Micrococca mercurialis (L.) Benth.,Euphorbiaceae,Micrococca mercurialis (L.) Benth.,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
Mikania cordata  (Burm.f.) B.L.Rob,Compositae,Mikania cordata (Burm.f.) B.L.Rob.,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
Mikania micrantha Kunth,Compositae,Mikania micrantha Kunth,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
Mimosa diplotricha var. diplotricha Sauvalle,Leguminosae,Mimosa diplotricha var. diplotricha,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mimosa invisa Colla,Leguminosae,Mimosa invisa Colla,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Mimosa pudica L.,Leguminosae,Mimosa pudica L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Mirabilis jalapa L.,Nyctaginaceae,Mirabilis jalapa L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Mitracarpus hirtus (L.) DC.,Rubiaceae,Mitracarpus hirtus (L.) DC.,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Montanoa bipinnatifida  (Kunth) K.Koch,Compositae,Montanoa bipinnatifida (Kunth) K.Koch,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Muntingia calabura L.,Muntingiaceae,Muntingia calabura L.,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Casuarina littoralis (Salisb.) L.A.S.Johnson,Casuarinaceae,Allocasuarina littoralis (Salisb.) L.A.S.Johnson,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Cleome burmanni Wt. & Arn.,Cleomaceae,Cleome rutidosperma var. burmannii (Wight & Arn.) Siddiqui & S.N.Dixit,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hedyotis tenelliflora (Blume) Kuntze,Rubiaceae,Oldenlandia tenelliflora (Blume) Kuntze,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Oxalis debilis var. corymbosa  (DC.) Lourteig,Oxalidaceae,Oxalis debilis var. corymbosa (DC.) Lourteig,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0
Agrostis tenuis Sibth.,Poaceae,Agrostis idahoensis Nash,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alternanthera ficoidea  (L.) Sm.,Amaranthaceae,Alternanthera ficoidea (L.) Sm.,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Oxalis pubescens G.Don,Oxalidaceae,Oxalis spiralis Ruiz & Pav. ex G.Don,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nasturtium officinale R.Br.,Brassicaceae,Nasturtium officinale R.Br.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Neptunia plena (L.) Benth.,Leguminosae,Neptunia plena (L.) Benth.,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1
Nicandra physalodes (L.) Gaertn.,Solanaceae,Nicandra physalodes (L.) Gaertn.,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nicotiana glauca Graham,Solanaceae,Nicotiana glauca Graham,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Nicotiana plumbaginifolia Viv.,Solanaceae,Nicotiana plumbaginifolia Viv.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Nothosaerva brachiata (L.) Wight,Amaranthaceae,Nothosaerva brachiata (L.) Wight,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
Nymphaea alba L.,Nymphaeaceae,Nymphaea alba L.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nymphaea mexicana Zucc.,Nymphaeaceae,Nymphaea mexicana Zucc.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocimum americanum L.,Lamiaceae,Ocimum americanum L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Ocimum gratissimum L.,Lamiaceae,Ocimum gratissimum L.,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Oenothera biennis L.,Onagraceae,Oenothera biennis L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oenothera drummondii Hook.,Onagraceae,Oenothera drummondii Hook.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oenothera glazioviana Micheli,Onagraceae,Oenothera glazioviana Micheli,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oenothera rosea L'Hér. ex Aiton,Onagraceae,Oenothera rosea L'H<e9>r. ex Aiton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Oenothera tetraptera Cav.,Onagraceae,Oenothera tetraptera Cav.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Olea europaea L.,Oleaceae,Olea europaea L.,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Opuntia cochenillifera,Cactaceae,Opuntia cochenillifera DC.,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Opuntia dillenii (Ker Gawl.) Haw.,Cactaceae,Opuntia dillenii (Ker Gawl.) Haw.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Opuntia elatior Miller,Cactaceae,Opuntia elatior Mill.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Opuntia monacantha Haw.,Cactaceae,Opuntia monacantha (Willd.) Haw.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Opuntia stricta (Haw.) Haw.,Cactaceae,Opuntia stricta (Haw.) Haw.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Opuntia vulgaris Miller,Cactaceae,Opuntia ficus-indica (L.) Mill.,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Oxalis deppei Lodd. ex Sweet,Oxalidaceae,Oxalis deppei Lodd. ex Sweet,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
Oxalis latifolia Kunth,Oxalidaceae,Oxalis latifolia Kunth,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
Oxalis pes-caprae L. ,Oxalidaceae,Oxalis pes-caprae L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oxalis variabilis Thunb.,Oxalidaceae,Oxalis variabilis Jacq.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oxygonum sinuatum (Hochst. & Steud ex Meisn.) Dammer,Polygonaceae,Oxygonum sinuatum (Hochst. & Steud ex Meisn.) Dammer,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panicum maximum Jacq.,Poaceae,Panicum maximum Jacq.,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1
Papaver rhoeas L.,Papaveraceae,Papaver rhoeas L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
Papaver somniferum L.,Papaveraceae,Papaver somniferum L.,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0
Parkinsonia aculeata L.,Leguminosae,Parkinsonia aculeata L.,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
Parthenium hysterophorus L. ,Compositae,Parthenium hysterophorus L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Paspalum dilatatum Poir.,Poaceae,Paspalum dilatatum Poir.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Paspalum plicatulum Michx.,Poaceae,Paspalum plicatulum Michx.,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1
Passiflora calcarata,Passifloraceae,Passiflora calcarata Mast.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Passiflora foetida  L.,Passifloraceae,Passiflora foetida L.,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Passiflora mollissima (Kunth) L.H.Bailey,Passifloraceae,Passiflora mollissima (Kunth) L.H.Bailey,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passiflora suberosa L.,Passifloraceae,Passiflora suberosa L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Passiflora subpeltata Ortega,Passifloraceae,Passiflora subpeltata Ortega,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pennisetum clandestinum Hochst. ex Chiov,Poaceae,Pennisetum clandestinum Hochst. ex Chiov.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pennisetum glaucum (L.) R.Br.,Poaceae,Pennisetum glaucum (L.) R.Br.,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Pennisetum purpureum Schumach.,Poaceae,Pennisetum purpureum Schumach.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Peperomia pellucida (L.) Kunth,Piperaceae,Peperomia pellucida (L.) Kunth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Phalaris minor Retz.,Poaceae,Phalaris minor Retz.,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Phyllanthus tenellus Roxb.,Phyllanthaceae,Phyllanthus tenellus Roxb.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Physalis angulata L.,Solanaceae,Physalis angulata L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Physalis heterophylla Nees,Solanaceae,Physalis heterophylla Nees,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Physalis lagascae Roem. & Schult.,Solanaceae,Physalis lagascae Roem. & Schult.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Physalis peruviana  L.,Solanaceae,Physalis peruviana L.,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Physalis pruinosa L.,Solanaceae,Physalis pruinosa L.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Pilea microphylla (L.) Liebm.,Urticaceae,Pilea microphylla (L.) Liebm.,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
Pithecellobium dulce (Roxb.) Benth.,Leguminosae,Pithecellobium dulce (Roxb.) Benth.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Plectranthus scutellarioides (L.) R.Br.,Lamiaceae,Plectranthus scutellarioides (L.) R.Br.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Poa pratensis L.,Poaceae,Poa pratensis L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polycarpon tetraphyllum (L.) L.,Caryophyllaceae,Polycarpon tetraphyllum (L.) L.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Polygonum aviculare L.,Polygonaceae,Polygonum aviculare L.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polytrias indica (Houtt.) Veldkamp,Poaceae,Polytrias indica (Houtt.) Veldkamp,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0
Portulaca pilosa L.,Portulacaceae,Portulaca pilosa L.,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0
Prosopis chilensis (Molina) Stuntz,Leguminosae,Prosopis chilensis (Molina) Stuntz,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Prosopis juliflora (Sw.) DC.,Leguminosae,Prosopis juliflora (Sw.) DC.,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1
Pseudelephantopus spicatus (B.Juss. ex Aubl.) Rohr ex C.F.Baker,Compositae,Pseudelephantopus spicatus (B.Juss. ex Aubl.) Rohr ex C.F.Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Psidium guajava L.,Myrtaceae,Psidium guajava L.,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Raphanus raphanistrum L.,Brassicaceae,Raphanus raphanistrum L.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
Rauvolfia tetraphylla L.,Apocynaceae,Rauvolfia tetraphylla L.,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
Rhamnus persica Boiss.,Rhamnaceae,Rhamnus persica P. Lawson,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
